,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-03-13,0.8726964646744508,0.020795823169722023,0.007449217898343124,0.0016258611408026937,0.0005583558222229212,0.0968742772944584,Lausanne (VD),43.0
2021-03-14,0.8841279594265669,0.01811967983928066,0.005702423247437486,0.0015609795354956585,0.00025598497146831726,0.09023297297975105,Lausanne (VD),43.0
2021-03-15,0.8940777678015729,0.0163470840583612,0.003927570325430439,0.0015060443365443065,0.0,0.08414153347809107,Lausanne (VD),43.0
2021-03-16,0.9018743298628635,0.01549091218781441,0.0022033105417528787,0.0014167187121453223,0.0,0.07901472869542404,Lausanne (VD),43.0
2021-03-17,0.9072643550187637,0.015405259196093521,0.000556925640292999,0.0013431352219551726,0.0,0.07543032492289456,Lausanne (VD),43.0
2021-03-18,0.9100390330387407,0.015932898642318716,0.0,0.001440660471116984,0.0,0.07258740784782358,Lausanne (VD),43.0
2021-03-19,0.9106904318814445,0.01681815949862183,0.0,0.0016044921096597343,0.0,0.07088691651027394,Lausanne (VD),43.0
2021-03-20,0.9098879264318809,0.017819178739151297,0.0,0.001728124657646607,0.0,0.07056477017132119,Lausanne (VD),43.0
2021-03-21,0.9082189760455102,0.0187473946026909,0.0,0.0018026887311799744,0.0,0.0712309406206189,Lausanne (VD),43.0
2021-03-22,0.9062789954960322,0.01945124624085148,0.0,0.0018246474484355866,0.0,0.07244511081468065,Lausanne (VD),43.0
2021-03-23,0.904605597878985,0.019823240670570317,0.0,0.0017964910506207397,0.0,0.07377467039982394,Lausanne (VD),43.0
2021-03-24,0.9036190643217457,0.019804370165927235,0.0,0.0017261501489050158,0.0,0.07485041536342216,Lausanne (VD),43.0
2021-03-25,0.9035800556325416,0.01938468319375852,0.0,0.0016251539386477776,0.0,0.07541010723505204,Lausanne (VD),43.0
2021-03-26,0.9045774870389829,0.01859858593244278,0.0,0.0015060868154525286,0.0,0.07531784021312178,Lausanne (VD),43.0
2021-03-27,0.9065516912693707,0.01751495450392364,0.0,0.001380196626759726,0.0,0.07455315759994578,Lausanne (VD),43.0
2021-03-28,0.9093464414322705,0.01622402069594471,0.0,0.0012558701991912087,0.0,0.07317366767259369,Lausanne (VD),43.0
2021-03-29,0.9127763307132007,0.014823957807759676,0.0,0.0011382484181538476,0.0,0.07126146306088568,Lausanne (VD),43.0
2021-03-30,0.9166774505113607,0.013415605396616575,6.180648162904961e-05,0.0010405364395877136,0.0,0.06880460117080583,Lausanne (VD),43.0
2021-03-31,0.9206227313582458,0.012212188680536787,0.001383226160916955,0.0011602609159682795,7.05275908559297e-05,0.06455106529347628,Lausanne (VD),43.0
2021-04-01,0.9251634483397582,0.011156857023304132,0.002562982649445458,0.0012516504556865124,0.00026189168180987824,0.05960316984999583,Lausanne (VD),43.0
2021-04-02,0.9306093787183428,0.010269275566361242,0.0035387461956304348,0.0013344516648701446,0.0004274499638860593,0.05382069789090931,Lausanne (VD),43.0
2021-04-03,0.9372618656854388,0.009546930011302936,0.004293699912535535,0.0014119684607294453,0.0005583588099331824,0.04692717712006008,Lausanne (VD),43.0
2021-04-04,0.94502045773119,0.008949403188670307,0.00486215811860514,0.0014974464053901125,0.0006464859968085113,0.03902404855933592,Lausanne (VD),43.0
2021-04-05,0.9529544024062385,0.008411981902598672,0.005330373710917449,0.0016112334657251229,0.0006891027599494511,0.03100290575457067,Lausanne (VD),43.0
2021-04-06,0.9595940014640788,0.007885022269416819,0.005793551961464136,0.0017693182318928155,0.0006923748870889042,0.024265731186058546,Lausanne (VD),43.0
2021-04-14,0.9575985725541043,0.005666947037005257,0.008777966147750492,0.0037656556288695794,0.0005069853787820017,0.023683873253488464,Lausanne (VD),43.0
2021-04-15,0.9538520136877496,0.005828230796075395,0.008918547132854313,0.004069447986486553,0.0004836972914080227,0.026848063105426027,Lausanne (VD),43.0
2021-04-16,0.9493335918577699,0.006103329327877934,0.009037293914976974,0.00438848375591036,0.00045120046000610934,0.030686100683458523,Lausanne (VD),43.0
